"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0O840","2020-05-05 00:00:00","134.000","134.000","0.900","24.600","1.000","994.100","","0.000","-99.000","-99.000","-99.000","31.800","","24.100",""
"C0R530","2020-05-05 00:00:00","16.000","187.000","1.600","26.700","0.770","1009.000","","0.000","-99.000","-99.000","-99.000","29.200","","25.000",""
"C0G870","2020-05-05 00:00:00","12.000","0.000","0.000","24.600","0.760","1010.400","","0.000","-99.000","-99.000","-99.000","32.200","","23.700",""
"C0M820","2020-05-05 00:00:00","980.000","70.000","0.300","19.100","0.810","905.400","","0.000","-99.000","-99.000","-99.000","28.700","","17.600",""
"C0F9S0","2020-05-05 00:00:00","43.000","222.000","1.100","26.800","0.790","1006.300","","0.000","-99.000","-99.000","-99.000","32.800","","25.800",""
"C0A950","2020-05-05 00:00:00","60.000","277.000","2.500","23.900","1.000","1004.200","","0.000","-99.000","-99.000","-99.000","27.300","","23.300",""
"C0F9L0","2020-05-05 00:00:00","253.000","237.000","1.700","26.300","0.790","982.300","","0.000","-99.000","-99.000","-99.000","33.000","","25.100",""
"C0R550","2020-05-05 00:00:00","38.000","105.000","0.400","24.700","1.000","1007.400","","0.000","-99.000","-99.000","-99.000","32.000","","23.500",""
"C0R790","2020-05-05 00:00:00","111.000","239.000","2.900","25.900","0.830","998.800","","0.000","-99.000","-99.000","-99.000","32.900","","24.600",""
"C0V530","2020-05-05 00:00:00","34.000","53.000","0.400","26.300","1.000","1006.700","","0.000","-99.000","-99.000","-99.000","32.000","","24.200",""
"C0AI10","2020-05-05 00:00:00","76.000","0.000","0.000","24.500","0.960","1001.800","","0.000","-99.000","-99.000","-99.000","33.900","","23.600",""
"C0F9U0","2020-05-05 00:00:00","74.000","256.000","1.600","26.900","0.810","1002.900","","0.000","-99.000","-99.000","-99.000","33.200","","25.900",""
"C0R760","2020-05-05 00:00:00","336.000","282.000","1.400","22.500","0.970","973.700","","0.000","-99.000","-99.000","-99.000","29.300","","22.500",""
"C0V680","2020-05-05 00:00:00","40.000","61.000","0.300","27.500","0.810","1006.100","","0.000","-99.000","-99.000","-99.000","31.700","","26.000",""
"C0Z290","2020-05-05 00:00:00","946.000","0.000","0.000","22.200","0.650","909.000","","0.000","-99.000","-99.000","-99.000","28.200","","20.000",""
"CM0120","2020-05-05 00:00:00","4.000","186.000","1.400","26.500","0.790","1010.600","","0.000","-99.000","-99.000","-99.000","28.300","","24.500",""
"C0K450","2020-05-05 00:00:00","35.000","174.000","1.100","26.200","0.840","1006.400","","0.000","-99.000","-99.000","-99.000","32.100","","25.100",""
"C0E820","2020-05-05 00:00:00","220.000","0.000","0.000","23.900","0.910","986.200","","0.000","-99.000","-99.000","-99.000","33.400","","23.600",""
"C0A530","2020-05-05 00:00:00","300.000","0.000","0.000","22.200","0.990","976.800","","0.000","-99.000","-99.000","-99.000","33.100","","21.200",""
"C0M520","2020-05-05 00:00:00","15.000","206.000","0.700","25.500","0.870","1008.800","","0.000","-99.000","-99.000","-99.000","31.200","","23.700",""
"C0K240","2020-05-05 00:00:00","1132.000","131.000","2.100","20.000","0.990","891.400","","0.000","-99.000","-99.000","-99.000","28.800","","17.000",""
"C0V210","2020-05-05 00:00:00","734.000","0.000","0.200","21.000","0.840","931.800","","0.000","-99.000","-99.000","-99.000","32.800","","17.800",""
"C0Z320","2020-05-05 00:00:00","646.000","287.000","1.300","18.600","0.890","940.600","","0.000","-99.000","-99.000","-99.000","31.900","","17.700",""
"C0R600","2020-05-05 00:00:00","766.000","359.000","0.600","25.900","0.580","926.600","","0.000","-99.000","-99.000","-99.000","28.300","","20.600",""
"C0C650","2020-05-05 00:00:00","208.000","234.000","0.500","24.900","0.880","987.200","","0.000","-99.000","-99.000","-99.000","32.200","","23.800",""
"C0F9I0","2020-05-05 00:00:00","194.000","205.000","2.400","25.600","0.820","988.800","","0.000","-99.000","-99.000","-99.000","32.300","","24.500",""
"C0T820","2020-05-05 00:00:00","550.000","0.000","0.000","20.500","0.850","954.900","","0.000","-99.000","-99.000","-99.000","32.100","","17.200",""
"C0S890","2020-05-05 00:00:00","238.000","0.000","0.000","23.100","0.980","987.800","","0.000","-99.000","-99.000","-99.000","33.900","","20.800",""
"C0G840","2020-05-05 00:00:00","32.000","0.000","0.000","25.900","0.900","1006.500","","0.000","-99.000","-99.000","-99.000","34.300","","24.400",""
"C0V710","2020-05-05 00:00:00","34.000","200.000","1.800","27.600","0.770","1007.000","","0.000","-99.000","-99.000","-99.000","30.900","","26.500",""
"C0X140","2020-05-05 00:00:00","17.000","233.000","0.500","27.500","0.820","1008.600","","0.000","-99.000","-99.000","-99.000","32.600","","24.900",""
"C0C680","2020-05-05 00:00:00","228.000","265.000","1.300","25.000","0.870","983.300","","0.000","-99.000","-99.000","-99.000","31.900","","23.500",""
"C0D360","2020-05-05 00:00:00","523.000","0.000","0.000","20.600","0.940","951.500","","0.000","-99.000","-99.000","-99.000","30.100","","18.100",""
"C0Z190","2020-05-05 00:00:00","62.000","296.000","3.000","27.800","0.640","1004.000","","0.000","-99.000","-99.000","-99.000","29.600","","23.600",""
"C0Z020","2020-05-05 00:00:00","211.000","0.000","0.100","22.400","0.990","987.100","","0.000","-99.000","-99.000","-99.000","31.300","","20.500",""
"C0I380","2020-05-05 00:00:00","258.000","0.000","0.000","25.300","0.870","981.300","","0.000","-99.000","-99.000","-99.000","34.100","","22.900",""
"C0D560","2020-05-05 00:00:00","147.000","256.000","0.500","25.700","0.870","994.600","","0.000","-99.000","-99.000","-99.000","33.800","","24.100",""
"C0Z220","2020-05-05 00:00:00","589.000","259.000","2.200","21.500","0.990","947.700","","0.000","-99.000","-99.000","-99.000","28.700","","20.200",""
"C0R220","2020-05-05 00:00:00","23.000","106.000","0.800","25.800","1.000","1008.700","","0.000","-99.000","-99.000","-99.000","32.100","","25.200",""
"C0A870","2020-05-05 00:00:00","685.000","257.000","1.700","22.400","1.000","933.100","","0.000","-99.000","-99.000","-99.000","28.900","","20.400",""
"C0V670","2020-05-05 00:00:00","20.000","200.000","1.800","27.600","0.800","1008.500","","0.000","-99.000","-99.000","-99.000","30.300","","26.400",""
"C0G770","2020-05-05 00:00:00","15.000","190.000","0.400","26.400","0.860","1009.400","","0.000","-99.000","-99.000","-99.000","31.700","","25.400",""
"C0C540","2020-05-05 00:00:00","46.000","257.000","1.600","26.500","0.860","1005.300","","0.000","-99.000","-99.000","-99.000","32.600","","25.000",""
"C0R770","2020-05-05 00:00:00","93.000","46.000","0.500","23.500","0.940","1000.700","","0.000","-99.000","-99.000","-99.000","28.900","","23.500",""
"C0F9O0","2020-05-05 00:00:00","175.000","258.000","0.400","27.600","0.760","991.100","","0.000","-99.000","-99.000","-99.000","34.800","","26.500",""
"C0Z230","2020-05-05 00:00:00","31.000","276.000","2.700","25.500","0.720","1008.500","","0.000","-99.000","-99.000","-99.000","28.800","","24.400",""
"C0U900","2020-05-05 00:00:00","63.000","280.000","0.500","24.400","0.990","1004.800","","0.000","-99.000","-99.000","-99.000","29.200","","22.400",""
"C0X200","2020-05-05 00:00:00","61.000","0.000","0.000","24.300","0.970","1003.900","","0.000","-99.000","-99.000","-99.000","32.600","","23.600",""
"C0G640","2020-05-05 00:00:00","17.000","0.000","0.200","25.300","0.890","1011.700","","0.000","-99.000","-99.000","-99.000","31.300","","24.700",""
"C0Z080","2020-05-05 00:00:00","298.000","0.000","0.000","21.800","0.910","977.900","","0.000","-99.000","-99.000","-99.000","36.700","","20.800",""
"C0U770","2020-05-05 00:00:00","5.000","327.000","3.000","23.600","0.990","1010.500","","0.000","-99.000","-99.000","-99.000","29.200","","23.000",""
"C0Z210","2020-05-05 00:00:00","126.000","0.000","0.100","22.500","0.990","998.300","","0.000","-99.000","-99.000","-99.000","32.700","","21.100",""
"C0V690","2020-05-05 00:00:00","30.000","246.000","2.000","27.700","0.840","1008.300","","0.000","-99.000","-99.000","-99.000","29.700","","26.300",""
"C0M690","2020-05-05 00:00:00","33.000","0.000","0.000","25.300","0.920","1006.500","","0.000","-99.000","-99.000","-99.000","31.800","","24.700",""
"C0R440","2020-05-05 00:00:00","1679.000","256.000","5.400","18.200","0.690","834.900","","0.000","-99.000","-99.000","-99.000","22.200","","16.900",""
"C0F970","2020-05-05 00:00:00","145.000","203.000","0.900","26.700","0.750","994.000","","0.000","-99.000","-99.000","-99.000","33.200","","25.000",""
"C0C490","2020-05-05 00:00:00","157.000","321.000","1.100","26.100","0.870","992.900","","0.000","-99.000","-99.000","-99.000","32.900","","24.800",""
"C0X160","2020-05-05 00:00:00","26.000","103.000","1.000","26.400","0.940","1007.500","","0.000","-99.000","-99.000","-99.000","30.900","","25.700",""
"C0S760","2020-05-05 00:00:00","1621.000","359.000","1.500","16.900","0.890","840.000","","0.000","-99.000","-99.000","-99.000","21.200","","15.900",""
"C0O830","2020-05-05 00:00:00","127.000","0.000","0.000","23.800","0.990","997.100","","0.000","-99.000","-99.000","-99.000","37.200","","23.800",""
"C0A9A0","2020-05-05 00:00:00","24.000","358.000","1.300","26.000","0.930","1007.800","","0.000","-99.000","-99.000","-99.000","33.300","","25.600",""
"C0AD50","2020-05-05 00:00:00","84.000","255.000","0.600","27.100","0.990","1001.700","","0.000","-99.000","-99.000","-99.000","33.500","","25.200",""
"C0G620","2020-05-05 00:00:00","110.000","239.000","1.100","25.600","0.930","998.400","","0.000","-99.000","-99.000","-99.000","35.300","","23.400",""
"C0V310","2020-05-05 00:00:00","46.000","0.000","0.000","25.400","0.830","1005.100","","0.000","-99.000","-99.000","-99.000","34.900","","25.200",""
"C0X110","2020-05-05 00:00:00","20.000","243.000","1.000","27.500","0.870","1008.900","","0.000","-99.000","-99.000","-99.000","29.800","","26.400",""
"C0S980","2020-05-05 00:00:00","901.000","0.000","0.100","21.700","0.870","912.500","","0.000","-99.000","-99.000","-99.000","27.300","","20.100",""
"C0AC60","2020-05-05 00:00:00","55.000","204.000","1.300","26.500","0.920","1004.300","","0.000","-99.000","-99.000","-99.000","34.000","","24.100",""
"C0R510","2020-05-05 00:00:00","31.000","151.000","0.600","26.500","0.870","1006.600","","0.000","-99.000","-99.000","-99.000","33.700","","26.000",""
"C0X060","2020-05-05 00:00:00","19.000","126.000","0.800","25.500","0.880","1010.400","","0.000","-99.000","-99.000","-99.000","33.000","","23.500",""
"C0E550","2020-05-05 00:00:00","84.000","111.000","0.300","24.700","0.940","1001.100","","0.000","-99.000","-99.000","-99.000","32.100","","23.400",""
